"","P.locat","NP","GP","BFj","BUj","palsites.real.lon","palsites.real.lat"
"26","outer",10.0604338965709,8.31921765730197,0,0,162.90755,5.27876
"27","outer",10.9607689122146,9.08059943935768,0.0168883302981658,0.000104102318047026,162.98051,5.26525
"28","outer",19.877933027328,18.7484337794742,0.104489383854168,0,163.0027,5.37348
"29","outer",21.9832545096842,16.0205613244769,0,0,162.99699,5.37506
"30","outer",21.8051674274594,17.1976864506249,0,0.00133602035458945,162.8967,5.29927
"31","outer",9.31054067101207,6.49146468051603,0.000260393746280493,0,162.93533,5.32677
"32","outer",5.01962362385487,3.79105156830366,0.00588221650569394,0,163.03798,5.31259
"33","outer",2.01779579252318,1.503995862056,0.024545110528843,0.000267005615232096,163.03645,5.32721
"34","outer",3.96510684856714,2.75252705879868,0.00402677787933132,0.000327978715664125,162.94688,5.35649
"35","outer",1.19211674015034,0.890749536632,0.00198093248381035,0,163.03059,5.28791
"36","outer",2.13677314443838,1.80939162699998,0.00445070047977976,0,163.02065,5.27187
"37","outer",3.17683745996458,2.63657915206404,0.0370440206569813,0,162.98283,5.3718
"38","outer",3.25322863689625,2.74113924698735,0.00789394597842743,0.00102721205598142,163.03365,5.33899
"39","outer",2.04106593179227,1.71476223420298,0.0135814951567599,0,162.98364,5.26278
"40","outer",2.82023446615896,2.48981317780247,0.0145885228409067,0,162.97695,5.36937
"41","outer",5.41957809405812,4.69168929446439,0.0104483140107885,0,162.90034,5.31134
"42","outer",2.33209371580359,2.0245377293599,0.00579743287980339,0,162.98454,5.37275
"43","inner",4.49560601754325,4.41374266570115,0,0,163.02315,5.32558
"44","inner",7.13910235180241,6.81774936884143,0,0,162.95325,5.34423
"45","inner",6.95583400522184,6.6423290079223,0,0.000538803956487844,162.939,5.32762
"46","inner",5.33400461459993,5.08527033891941,0,0.000432081033711151,162.95012,5.3458
"47","inner",7.07811626383221,6.480686368318,0,0.00338814214951358,162.96646,5.27639
"48","inner",8.43992634435887,7.98276759451243,0,0.000267005615232096,162.95404,5.34976
"49","outer",8.93892479543382,8.01650633486049,0,0.00558455811486939,162.95673,5.26699
"50","outer",9.17610276271932,8.68668842718502,0,0.00505988480486866,162.90755,5.27876
"51","outer",10.067804148537,9.73502322885714,0.00191940937217953,0.00366295618560376,162.98051,5.26525
"52","outer",8.12758554151348,7.53211868659521,0.000173827430940457,0.00857307482581095,163.0027,5.37348
"53","outer",6.89722611114949,6.44924505817492,0,0.000952979501520051,162.99699,5.37506
"54","outer",4.02104774585113,3.78507412414003,0,0.0005208984678089,162.8967,5.29927
"55","outer",4.80626859637305,3.16225815344558,0.0223117287128512,0,162.93533,5.32677
"56","outer",1.94648113844856,1.14032568031303,0.0235543445050927,0,163.03798,5.31259
"57","outer",5.90576109572166,3.99178610495022,0.00179268062125356,0,163.03645,5.32721
"58","outer",2.83470033259587,1.97899163282299,0.0297106640295636,0,162.94688,5.35649
"59","outer",1.55328897114983,1.45830362465378,0.306870652259981,0,163.03059,5.28791
"60","outer",4.14737232718811,4.66990318408039,2.37588440996058,0,163.02065,5.27187
